timestamp,event_type,session_start,round_number,round_start_time,round_end_time,round_duration_sec,round_distance_m,battery_start_pct,battery_end_pct,battery_drain_pct,total_distance_m,session_uptime_sec,cancel_reason,snapshot_path,notes
2026-04-08 10:18:24,SESSION_START,20260408_101824,,20260408_101824,,,,,,,0.000,0.2,,,Robot powered on. Log: /home/jetson/amr_logs/session_20260408_101824.csv
2026-04-08 10:18:54,STATUS_HEARTBEAT,20260408_101824,,,,,,,10.4,0.00,0.000,30.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.00%
2026-04-08 10:19:24,STATUS_HEARTBEAT,20260408_101824,,,,,,,10.3,0.10,0.000,60.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.10%
2026-04-08 10:19:54,STATUS_HEARTBEAT,20260408_101824,,,,,,,10.3,0.10,0.000,90.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.10%
2026-04-08 10:20:24,STATUS_HEARTBEAT,20260408_101824,,,,,,,10.3,0.10,0.000,120.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.10%
2026-04-08 10:20:54,STATUS_HEARTBEAT,20260408_101824,,,,,,,10.2,0.20,0.000,150.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.20%
2026-04-08 10:21:24,STATUS_HEARTBEAT,20260408_101824,,,,,,,10.2,0.20,0.000,180.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.20%
2026-04-08 10:21:54,STATUS_HEARTBEAT,20260408_101824,,,,,,,10.2,0.20,0.000,210.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.20%
2026-04-08 10:22:24,STATUS_HEARTBEAT,20260408_101824,,,,,,,10.1,0.30,0.000,240.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.30%
2026-04-08 10:22:54,STATUS_HEARTBEAT,20260408_101824,,,,,,,10.1,0.30,0.000,270.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.30%
2026-04-08 10:23:24,STATUS_HEARTBEAT,20260408_101824,,,,,,,10.1,0.30,0.000,300.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.30%
2026-04-08 10:23:54,STATUS_HEARTBEAT,20260408_101824,,,,,,,10.1,0.30,0.000,330.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.30%
2026-04-08 10:24:24,STATUS_HEARTBEAT,20260408_101824,,,,,,,10.1,0.30,0.000,360.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.30%
2026-04-08 10:24:54,STATUS_HEARTBEAT,20260408_101824,,,,,,,10.0,0.40,0.000,390.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.40%
2026-04-08 10:25:24,STATUS_HEARTBEAT,20260408_101824,,,,,,,10.0,0.40,0.000,420.2,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.40%
