timestamp,event_type,session_start,round_number,round_start_time,round_end_time,round_duration_sec,round_distance_m,battery_start_pct,battery_end_pct,battery_drain_pct,total_distance_m,session_uptime_sec,cancel_reason,snapshot_path,notes
2026-04-08 10:55:24,SESSION_START,20260408_105524,,20260408_105524,,,,,,,0.000,0.3,,,Robot powered on. Log: /home/jetson/amr_logs/session_20260408_105524.csv
2026-04-08 10:55:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,100.0,0.00,0.000,30.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.00%
2026-04-08 10:56:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,100.0,0.00,0.000,60.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.00%
2026-04-08 10:56:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.9,0.10,0.000,90.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.10%
2026-04-08 10:57:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.9,0.10,0.000,120.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.10%
2026-04-08 10:57:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.9,0.10,0.000,150.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.10%
2026-04-08 10:58:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.9,0.10,0.000,180.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.10%
2026-04-08 10:58:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.9,0.10,0.000,210.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.10%
2026-04-08 10:59:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.8,0.20,0.000,240.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.20%
2026-04-08 10:59:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.8,0.20,0.000,270.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.20%
2026-04-08 11:00:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.8,0.20,0.000,300.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.20%
2026-04-08 11:00:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.8,0.20,0.000,330.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.20%
2026-04-08 11:01:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.8,0.20,0.000,360.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.20%
2026-04-08 11:01:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.7,0.30,0.000,390.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.30%
2026-04-08 11:02:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.7,0.30,0.000,420.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.30%
2026-04-08 11:02:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.7,0.30,0.000,450.3,,,Rounds completed: 0  |  Active goals: 0  |  Session drain: 0.30%
2026-04-08 11:03:07,NAV_STARTED,20260408_105524,1,2026-04-08 11:03:07,,,,99.7,99.7,,0.000,462.7,,,
2026-04-08 11:03:21,NAV_COMPLETED,20260408_105524,1,2026-04-08 11:03:07,2026-04-08 11:03:21,14.4,0.000,99.7,99.7,0.00,0.000,477.1,,,
2026-04-08 11:03:21,NAV_STARTED,20260408_105524,2,2026-04-08 11:03:21,,,,99.7,99.7,,0.000,477.4,,,
2026-04-08 11:03:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.7,0.30,0.000,480.3,,,Rounds completed: 2  |  Active goals: 1  |  Session drain: 0.30%
2026-04-08 11:03:25,NAV_STARTED,20260408_105524,3,2026-04-08 11:03:25,,,,99.7,99.7,,0.000,480.5,,,
2026-04-08 11:03:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.7,0.30,0.000,510.3,,,Rounds completed: 3  |  Active goals: 2  |  Session drain: 0.30%
2026-04-08 11:04:02,NAV_COMPLETED,20260408_105524,3,2026-04-08 11:03:25,2026-04-08 11:04:02,37.6,0.000,99.7,99.6,0.10,0.000,518.1,,,
2026-04-08 11:04:03,NAV_STARTED,20260408_105524,4,2026-04-08 11:04:03,,,,99.6,99.6,,0.000,518.4,,,
2026-04-08 11:04:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.6,0.40,0.000,540.3,,,Rounds completed: 4  |  Active goals: 2  |  Session drain: 0.40%
2026-04-08 11:04:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.6,0.40,0.000,570.3,,,Rounds completed: 4  |  Active goals: 2  |  Session drain: 0.40%
2026-04-08 11:04:56,NAV_STARTED,20260408_105524,5,2026-04-08 11:04:56,,,,99.6,99.6,,0.000,571.7,,,
2026-04-08 11:05:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.5,0.50,0.000,600.3,,,Rounds completed: 5  |  Active goals: 3  |  Session drain: 0.50%
2026-04-08 11:05:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.5,0.50,0.000,630.3,,,Rounds completed: 5  |  Active goals: 3  |  Session drain: 0.50%
2026-04-08 11:06:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.5,0.50,0.000,660.3,,,Rounds completed: 5  |  Active goals: 3  |  Session drain: 0.50%
2026-04-08 11:06:49,NAV_STARTED,20260408_105524,6,2026-04-08 11:06:49,,,,99.5,99.5,,0.000,685.1,,,
2026-04-08 11:06:51,NAV_STARTED,20260408_105524,7,2026-04-08 11:06:51,,,,99.5,99.5,,0.000,686.5,,,
2026-04-08 11:06:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.5,0.50,0.000,690.3,,,Rounds completed: 7  |  Active goals: 5  |  Session drain: 0.50%
2026-04-08 11:07:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.4,0.60,0.000,720.3,,,Rounds completed: 7  |  Active goals: 5  |  Session drain: 0.60%
2026-04-08 11:07:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.4,0.60,0.000,750.3,,,Rounds completed: 7  |  Active goals: 5  |  Session drain: 0.60%
2026-04-08 11:08:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.3,0.70,0.000,780.3,,,Rounds completed: 7  |  Active goals: 5  |  Session drain: 0.70%
2026-04-08 11:08:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.2,0.80,0.000,810.3,,,Rounds completed: 7  |  Active goals: 5  |  Session drain: 0.80%
2026-04-08 11:09:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.2,0.80,0.000,840.3,,,Rounds completed: 7  |  Active goals: 5  |  Session drain: 0.80%
2026-04-08 11:09:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.1,0.90,0.000,870.3,,,Rounds completed: 7  |  Active goals: 5  |  Session drain: 0.90%
2026-04-08 11:10:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.1,0.90,0.000,900.3,,,Rounds completed: 7  |  Active goals: 5  |  Session drain: 0.90%
2026-04-08 11:10:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.0,1.00,0.000,930.3,,,Rounds completed: 7  |  Active goals: 5  |  Session drain: 1.00%
2026-04-08 11:11:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,99.0,1.00,0.000,960.3,,,Rounds completed: 7  |  Active goals: 5  |  Session drain: 1.00%
2026-04-08 11:11:36,NAV_ABORTED,20260408_105524,7,2026-04-08 11:06:51,2026-04-08 11:11:36,285.0,0.000,99.5,99.0,0.50,0.000,971.6,Navigation aborted — planner / controller failure,/home/jetson/amr_logs/snapshots/snap_ABORTED_R007_20260408_111136_BAT99pct_D0.0m.jpg,
2026-04-08 11:11:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,98.9,1.10,0.000,990.3,,,Rounds completed: 7  |  Active goals: 4  |  Session drain: 1.10%
2026-04-08 11:11:58,NAV_STARTED,20260408_105524,8,2026-04-08 11:11:58,,,,98.9,98.9,,0.000,993.9,,,
2026-04-08 11:12:11,NAV_COMPLETED,20260408_105524,8,2026-04-08 11:11:58,2026-04-08 11:12:11,13.4,0.000,98.9,98.9,0.00,0.000,1007.3,,,
2026-04-08 11:12:12,NAV_STARTED,20260408_105524,9,2026-04-08 11:12:12,,,,98.9,98.9,,0.000,1007.6,,,
2026-04-08 11:12:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,98.9,1.10,0.000,1020.3,,,Rounds completed: 9  |  Active goals: 5  |  Session drain: 1.10%
2026-04-08 11:12:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,98.8,1.20,0.000,1050.3,,,Rounds completed: 9  |  Active goals: 5  |  Session drain: 1.20%
2026-04-08 11:13:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,98.7,1.30,0.000,1080.3,,,Rounds completed: 9  |  Active goals: 5  |  Session drain: 1.30%
2026-04-08 11:13:46,NAV_COMPLETED,20260408_105524,9,2026-04-08 11:12:12,2026-04-08 11:13:46,93.8,0.000,98.9,98.7,0.20,0.000,1101.4,,,
2026-04-08 11:13:46,NAV_STARTED,20260408_105524,10,2026-04-08 11:13:46,,,,98.7,98.7,,0.000,1101.8,,,
2026-04-08 11:13:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,98.7,1.30,0.000,1110.3,,,Rounds completed: 10  |  Active goals: 5  |  Session drain: 1.30%
2026-04-08 11:13:58,NAV_COMPLETED,20260408_105524,10,2026-04-08 11:13:46,2026-04-08 11:13:58,11.8,0.000,98.7,98.7,0.00,0.000,1113.6,,,
2026-04-08 11:14:17,NAV_STARTED,20260408_105524,11,2026-04-08 11:14:17,,,,98.6,98.6,,0.000,1132.7,,,
2026-04-08 11:14:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,98.6,1.40,0.000,1140.3,,,Rounds completed: 11  |  Active goals: 5  |  Session drain: 1.40%
2026-04-08 11:14:32,NAV_COMPLETED,20260408_105524,11,2026-04-08 11:14:17,2026-04-08 11:14:32,15.6,0.000,98.6,98.6,0.00,0.000,1148.3,,,
2026-04-08 11:14:33,NAV_STARTED,20260408_105524,12,2026-04-08 11:14:33,,,,98.6,98.6,,0.000,1148.6,,,
2026-04-08 11:14:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,98.6,1.40,0.000,1170.3,,,Rounds completed: 12  |  Active goals: 5  |  Session drain: 1.40%
2026-04-08 11:15:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,98.5,1.50,0.000,1200.3,,,Rounds completed: 12  |  Active goals: 5  |  Session drain: 1.50%
2026-04-08 11:15:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,98.4,1.60,0.000,1230.3,,,Rounds completed: 12  |  Active goals: 5  |  Session drain: 1.60%
2026-04-08 11:16:05,NAV_COMPLETED,20260408_105524,12,2026-04-08 11:14:33,2026-04-08 11:16:05,92.5,0.000,98.6,98.4,0.20,0.000,1241.1,,,
2026-04-08 11:16:06,NAV_STARTED,20260408_105524,13,2026-04-08 11:16:06,,,,98.4,98.4,,0.000,1241.4,,,
2026-04-08 11:16:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,98.4,1.60,0.000,1260.3,,,Rounds completed: 13  |  Active goals: 5  |  Session drain: 1.60%
2026-04-08 11:16:25,NAV_COMPLETED,20260408_105524,13,2026-04-08 11:16:06,2026-04-08 11:16:25,19.1,0.000,98.4,98.4,0.00,0.000,1260.5,,,
2026-04-08 11:16:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,98.3,1.70,0.000,1290.3,,,Rounds completed: 13  |  Active goals: 4  |  Session drain: 1.70%
2026-04-08 11:17:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,98.3,1.70,0.000,1320.3,,,Rounds completed: 13  |  Active goals: 4  |  Session drain: 1.70%
2026-04-08 11:17:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,98.2,1.80,0.000,1350.3,,,Rounds completed: 13  |  Active goals: 4  |  Session drain: 1.80%
2026-04-08 11:18:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,98.2,1.80,0.000,1380.3,,,Rounds completed: 13  |  Active goals: 4  |  Session drain: 1.80%
2026-04-08 11:18:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,98.2,1.80,0.000,1410.3,,,Rounds completed: 13  |  Active goals: 4  |  Session drain: 1.80%
2026-04-08 11:19:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,98.1,1.90,0.000,1440.3,,,Rounds completed: 13  |  Active goals: 4  |  Session drain: 1.90%
2026-04-08 11:19:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,98.1,1.90,0.000,1470.3,,,Rounds completed: 13  |  Active goals: 4  |  Session drain: 1.90%
2026-04-08 11:20:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,98.1,1.90,0.000,1500.3,,,Rounds completed: 13  |  Active goals: 4  |  Session drain: 1.90%
2026-04-08 11:20:54,STATUS_HEARTBEAT,20260408_105524,,,,,,,98.0,2.00,0.000,1530.3,,,Rounds completed: 13  |  Active goals: 4  |  Session drain: 2.00%
2026-04-08 11:20:59,NAV_STARTED,20260408_105524,14,2026-04-08 11:20:59,,,,98.0,98.0,,0.000,1535.0,,,
2026-04-08 11:21:24,STATUS_HEARTBEAT,20260408_105524,,,,,,,98.0,2.00,0.000,1560.3,,,Rounds completed: 14  |  Active goals: 5  |  Session drain: 2.00%
2026-04-08 11:21:39,NAV_COMPLETED,20260408_105524,14,2026-04-08 11:20:59,2026-04-08 11:21:39,39.7,0.000,98.0,98.0,0.00,0.000,1574.7,,,
2026-04-08 11:21:39,NAV_STARTED,20260408_105524,15,2026-04-08 11:21:39,,,,98.0,98.0,,0.000,1575.0,,,
